company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes
"HEALTHY DESIGN, LTD. CO.",,1R44AG097237-01,,Rutland,VT,057014010,,NIH RePORTER API,,Marie T Pavini,,,
"PERSISTENCE THERAPEUTICS, INC.",,1R44CA310319-01,,Chapel Hill,NC,275162506,,NIH RePORTER API,,Pritha  Agarwalla,,,
SEEINME INC,,1R43AG090142-01A1,,Lees Summit,MO,640824085,,NIH RePORTER API,,Risa  Stein,,,
"CYTOAGENTS, INC.",,1R44CA295189-01A1,,Pittsburgh,PA,152032116,,NIH RePORTER API,,Arthur P Bertolino,,,
ENRECTEC LLC,,1R41AG094359-01,,Sioux Falls,SD,571064580,,NIH RePORTER API,,Samuel Newton Sathyanesan,,,
"EMPOWERX, INC.",,1R44MH142152-01,,Del Mar,CA,92014,,NIH RePORTER API,,Jenny Leigh Newlon,,,
"MICROBIOTIX, INC",,1R41AI195240-01,,Worcester,MA,016054307,,NIH RePORTER API,,Timothy J. Opperman,,,
"JERICHO SCIENCES, LLC",,1R41AI195177-01,,Springfield,VA,220392410,,NIH RePORTER API,,Haitao  Guo,,,
"RAREFIED BIOSCIENCES, INC.",,1R43AI189037-01A1,,Santa Monica,CA,904033209,,NIH RePORTER API,,Andrew  Hou,,,
PANLUMINATE INC.,,1R43AG092073-01,,New Haven,CT,065115614,,NIH RePORTER API,,Ons  M'Saad,,,
"RENEUROGEN, LLC",,1R44HL178153-01,,Elm Grove,WI,531221235,,NIH RePORTER API,,Stephen  Naylor,,,
"NATSAR PHARMACEUTICALS, INC.",,1R44CA295155-01A1,,Ellicott City,MD,210436762,,NIH RePORTER API,,Dominic A Ventura,,,
TURING MEDICAL TECHNOLOGIES INC,,1R44AG097349-01,,Saint Louis,MO,631081289,,NIH RePORTER API,,Kevin  King,,,
"NUVOX PHARMA, LLC",,1R44CA298498-01A1,,Tucson,AZ,857196803,,NIH RePORTER API,,Katherine  Havranek,,,
"REELIN THERAPEUTICS, INC.",,1R41AG094356-01A1,,San Diego,CA,921305611,,NIH RePORTER API,,Laurent  Calvier,,,
"BELLAGE, INC.",,1R44AG097241-01,,Sunnyside,NY,111041408,,NIH RePORTER API,,Diana  Yin,,,
"TRANSLUCENCE BIOSYSTEMS, INC.",,1R44AG090130-01A1,,Irvine,CA,92617,,NIH RePORTER API,,Damian G. Wheeler,,,
"BRAINCHECK, INC.",,1R43AG094410-01A1,,Austin,TX,78702,,NIH RePORTER API,,Bin  Huang,,,
"ADVANTAGE THERAPEUTICS, INC",,5R44AG091827-02,,Miami,FL,331372915,,NIH RePORTER API,,Carmela R Abraham,,,
"EPICYPHER, INC.",,5R44AG091990-02,,Research Triangle Park,NC,277090003,,NIH RePORTER API,,Sabrina Robin Hunt,,,
AQUALUNG THERAPEUTICS CORP.,,1R41HL180035-01,,Juno Beach,FL,33408,,NIH RePORTER API,,Stanley  Miele,,,
APPLIED UNIVERSAL DYNAMICS CORPORATION,,1R43AG094443-01,,Loretto,MN,553579536,,NIH RePORTER API,,Paul  Gibson,,,
"GENERAL BIOLOGICS, INC.",,1R43HL176305-01A1,,Cambridge,MA,021386805,,NIH RePORTER API,,Robert Rogers Yocum,,,
POSIT SCIENCE CORPORATION,,1R44AG094520-01,,San Francisco,CA,941115513,,NIH RePORTER API,,Mouna  Attarha,,,
"CAREVIRTUE TECHNOLOGIES, INC.",,1R44AG097384-01,,Dover,DE,199046506,,NIH RePORTER API,,Christian  Elliott,,,
SYNVEST IMAGING INC.,,1R41AG097311-01,,Chapel Hill,NC,275147103,,NIH RePORTER API,,Zhengxin  Cai,,,
"HIDO TECHNOLOGIES, INC.",,1R44AG097250-01,,El Dorado Hills,CA,957623970,,NIH RePORTER API,,Timothy  Cutler,,,
"PHOTOZIG, INC.",,1R44AG094463-01A1,,Campbell,CA,950085570,,NIH RePORTER API,,Bruno  Kajiyama,,,
"ALPHAMEMORY, LLC",,1R41AG092199-01,,Latham,NY,121105522,,NIH RePORTER API,,Chunyu  Wang,,,
"STORII, INC.",,1R44AG097382-01,,San Mateo,CA,944021506,,NIH RePORTER API,,Cameron  Graham,,,
"S-3 RESEARCH, LLC",,1R43AG091831-01A1,,San Diego,CA,92123,,NIH RePORTER API,,Timothy Ken Mackey,,,
"BOOKLILLICARES, LLC",,1R43AG097252-01,,Portsmouth,RI,028713508,,NIH RePORTER API,,Sarah Bergman Nadimpalli,,,
"CARE PROGRESS, LLC",,1R43HG014149-01,,Bethesda,MD,20815,,NIH RePORTER API,,Howard  Isenstein,,,
ONE HEALTH STUDIO LLC,,1R44AG097057-01,,San Francisco,CA,941341437,,NIH RePORTER API,,Jin  Lee,,,
"AIVOCODE, LLP",,1R44AG097127-01,,Encinitas,CA,920244931,,NIH RePORTER API,,Sazid  Hussain,,,
ZINNIA TECHNOLOGIES INC.,,1R41AG087819-01A1,,Winnetka,IL,600934230,,NIH RePORTER API,,Allyson  Schrier,,,
"OSCILLOSCAPE, LLC",,1R43AG092067-01,,East Hartford,CT,061083261,,NIH RePORTER API,,Edward W Large,,,
"OLEOLIVE, INC.",,1R41HL180136-01,,Shreveport,LA,71103,,NIH RePORTER API,,James  Cardelli,,,
"CELLSIGHT TECHNOLOGIES, INC.",,1R44AG094397-01,,San Francisco,CA,941079107,,NIH RePORTER API,,Jelena  Levi,,,
VIEWMIND INC,,1R43AG097131-01,,Alpine,NJ,076208404,,NIH RePORTER API,,Gerardo  Fernandez,,,
"TRU DIAGNOSTICS, INC.",,1R43AG097165-01,,Lexington,KY,405032748,,NIH RePORTER API,,Varun Bhamidipati Dwaraka,,,
"PANORAMA RESEARCH, INC.",,1R43AG097164-01,,Sunnyvale,CA,940891202,,NIH RePORTER API,,James W Larrick,,,
"VASOPTIC MEDICAL, INC.",,1R41AG091877-01A1,,Baltimore,MD,212305283,,NIH RePORTER API,,Abhishek  Rege,,,
ARTIAM BIO INC.,,1R41AG090138-01A1,,Cary,NC,275132754,,NIH RePORTER API,,Rachel S Knipe,,,
"JAAN BIOTHERAPEUTICS, INC.",,1R44HL180034-01A1,,San Diego,CA,921216204,,NIH RePORTER API,,Bhawanjit K Brar,,,
"DABBLE HEALTH, INC.",,1R43AG097223-01,,Newark,CA,945601520,,NIH RePORTER API,,Lawrence  Chernin,,,
"PROACTIVE LIFE, INC.",,1R43AG097205-01,,Fairfax,VA,220311831,,NIH RePORTER API,,Daniel  Gartenberg,,,
"VIRSCIO, INC.",,1R43AG087835-01A1,,New Haven,CT,065111963,,NIH RePORTER API,,John D Elsworth,,,
"GLIAL THERAPEUTICS, LLC",,1R41AG092194-01A1,,Boston,MA,021156128,,NIH RePORTER API,,Thomas Darmody Arnold,,,
"ACTIVE MOTIF, INC.",,1R43HG014420-01,,Carlsbad,CA,920086509,,NIH RePORTER API,,Brian Stanley Egan,,,
"INDEPENDENT FEEDING DEVICE, LLC",,1R41AG092186-01A1,,Jacksonville,FL,322566948,,NIH RePORTER API,,Jonathan Paul Dekar,,,
"TAUVISION, INC.",,1R42AG097309-01,,Concord,MA,017422043,,NIH RePORTER API,,Rachel Elise Bennett,,,
AVERTO MEDICAL INC,,1R44DK143876-01,,Fremont,CA,94539,,NIH RePORTER API,,Kenton Dodyan Fong,,,
